Price,Living,quality,structure,renovation,condiction,greenspace,Traffic,VIEW,Time,X,Y
12.393382,0.259583,0.156262,0.5,1,1,0,0,0.048077,38167,431348.0831,5609243.582
12.969212,0.531538,0.317277,0.75,1,1,0,0.333333,0.144231,37538,433696.2285,5602936.805
12.771386,0.45245,0.341969,0.75,1,1,0,0,0.134615,37824,433969.6927,5603915.908
12.587928,0.317807,0.089879,0.5,1,0.333333,0,0,0.076923,37502,438415.3162,5600470.557
12.354493,0.325328,0.173686,0.25,1,1,0,0.333333,0.028846,37756,433980.5351,5610555.351
12.524526,0.445124,0.330803,0.5,0.5,1,1,0,0.173077,38154,432376.6668,5608422.888
12.193494,0.139253,0.380528,0.25,0.166667,0.333333,0,0.666667,0.423077,38054,439162.1188,5598130.078
12.983655,0.450267,0.291839,0.75,1,1,0.2,0,0.019231,37747,435127.7213,5610443.334
12.206073,0.136099,0.209074,0.25,0.166667,0.333333,0,0,0.432692,37896,439428.7027,5598787.47
12.388394,0.376031,0.27529,0.5,1,1,0,0,0.144231,37463,441388.9753,5596187.066
12.110635,0.195536,0.148274,0.25,1,0.333333,0.4,1,0.019231,37509,432080.8616,5609338.05
12.319401,0.280204,0.165228,0.25,1,1,0,0.333333,0.153846,37847,440790.8115,5598175.457
12.66001,0.406114,0.225263,0.5,1,1,0,0,0.019231,37704,432147.0907,5610099.112
12.509874,0.367783,0.352936,0.5,1,1,0,0,0.240385,37512,435466.661,5607918.064
12.21106,0.1082,0.325709,0.25,0.166667,0.333333,0.6,0,0.461538,38002,438674.1775,5606832.808
12.301383,0.272198,0.418515,0.25,1,1,0,1,0.067308,37685,441161.9169,5596566.319
12.072541,0.159146,0.100073,0.25,1,0.333333,0,0,0.317308,37704,437837.716,5596625.916
12.005607,0.159631,0.087364,0.25,1,0,0,0,0,38115,444616.707,5593373.3
12.242887,0.219068,0.264922,0.25,1,0,0,0,0.259615,37945,433105.2363,5608086.625
